"","SRR17255059","SRR17255046","SRR7907975","SRR17255087","SRR17255066","SRR17255045","SRR17255027","SRR17255092","SRR17255015","SRR17255057","SRR17255025","SRR17255080","SRR7907977","SRR17255085","SRR17255017","SRR17255011","SRR17255072","SRR17255078","SRR17255019","SRR17255034","SRR17255084","SRR17255077","SRR17255086","SRR17255024","SRR17255061","SRR17255033","SRR17255039","SRR17254988","SRR17254994","SRR17255082","SRR17255079","SRR17254985","SRR17255014","SRR7907967","SRR17255030","SRR17254982","SRR17254997","SRR17255021","SRR17255018","SRR17255065","SRR17255038","SRR17255076","SRR7907979","SRR17254984","SRR7907964","SRR17255042","SRR17255064","SRR17255050","SRR17255013","SRR17255055","SRR17254996","SRR17254990","SRR17255035","SRR17255004","SRR17255037","SRR17255031","SRR17255070","SRR17254987","SRR17255036","SRR17255029","SRR7907976","SRR17255067","SRR17255063","SRR17255051","SRR17255071","SRR17255041","SRR17255081","SRR17255008","SRR17255032","SRR17255073","SRR17255010","SRR17255090","SRR17254993","SRR17255040","SRR17255020","SRR17255083","SRR17255048","SRR17255060","SRR17255001","SRR17255091","SRR17255002","SRR17255062","SRR17255012","SRR7907981","SRR17255093","SRR17255054","SRR17255047","SRR17255069","SRR7907996","SRR17255009","SRR17255089","SRR7907978","SRR7907993","SRR7907989","SRR17255053","SRR17254986","SRR17255028","SRR7907968","SRR17255043","SRR17255056","SRR17255006","SRR7907985","SRR7907982","SRR7907963","SRR17255074","SRR7907998","SRR17255052","SRR17254981","SRR7907974","SRR17255026","SRR17255044","SRR17255016","SRR7907990","SRR17255088","SRR7907992","SRR7907991","SRR7907970","SRR7908002","SRR7907980","SRR17255003","SRR7907969","SRR17255005","SRR7907999","SRR17254995","SRR17255000","SRR7908001","SRR7907988","SRR17254983","SRR7907972","SRR17254989","SRR17254992","SRR7907994","SRR17255022","SRR7907965","SRR7907987","SRR7907983","SRR17255068","SRR7907966","SRR7907986","SRR7908000","SRR17255023","SRR7907971","SRR7907973","SRR7907997","SRR17255007","SRR17254998","SRR7907984","SRR17255075","SRR7907995","SRR17254999","SRR17255049","SRR17255058","SRR17254991","SRR17254980","SRR11092509","SRR16079612","SRR11092506","SRR16079611","SRR11092502","SRR16079619","SRR11092499","SRR16079613","SRR16079617","SRR11092512","SRR16079618"
"2844249",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,9,5,0,8,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,106
"2895487",97,59,50,57,26,40,106,49,27,51,46,23,36,52,44,32,23,39,63,31,31,27,43,23,39,32,50,27,46,38,32,50,17,25,19,16,26,20,27,39,29,35,17,54,18,32,24,49,17,42,25,28,81,25,33,28,14,18,31,27,26,11,22,33,34,35,17,21,40,17,8,17,32,15,16,53,24,26,12,21,18,20,43,27,45,27,36,21,32,26,22,19,28,18,32,30,30,27,40,33,22,23,17,27,40,23,19,6,16,23,30,52,22,15,16,19,24,20,26,37,12,17,23,25,24,29,27,5,28,35,34,14,26,19,21,26,36,26,5,16,21,12,31,16,34,30,13,18,26,34,26,22,15,25,7,8,6,8,5,3,7,4,8,11,8
"389348",22,30,101,68,66,53,61,60,19,68,69,34,80,65,32,27,36,62,72,51,34,33,50,72,54,39,65,64,28,16,65,63,37,52,57,106,32,49,56,29,35,67,45,47,70,29,39,31,35,32,24,38,30,32,59,15,40,31,18,37,60,38,31,22,51,27,27,21,30,40,52,32,23,31,34,54,27,26,26,37,25,34,39,56,40,46,28,36,63,19,37,46,58,42,36,35,24,72,52,29,49,45,59,52,43,51,34,52,46,26,21,32,48,47,63,55,52,69,48,21,63,37,52,26,33,51,62,36,56,42,35,40,39,43,58,54,38,57,59,41,21,68,47,43,39,40,42,34,44,37,20,13,20,41,8,14,19,10,12,8,16,10,5,14,5
"493",104,51,102,70,60,46,94,90,21,45,106,40,69,73,55,37,48,79,68,56,40,49,58,67,52,37,57,46,37,22,67,52,33,90,24,77,46,33,67,38,48,57,46,54,73,50,54,50,39,34,43,37,54,30,60,31,45,42,26,23,68,36,30,44,44,47,44,39,36,23,48,48,34,31,31,57,42,15,25,31,19,32,33,68,48,41,26,49,65,35,41,53,77,43,33,34,58,51,50,35,47,62,55,56,41,63,33,36,60,45,46,50,47,39,55,62,55,53,65,29,47,38,52,44,30,60,57,87,66,29,45,53,27,52,59,61,43,53,63,56,22,63,56,56,47,35,41,41,74,33,41,30,26,48,9,8,17,10,11,9,20,10,17,28,8
"863",16,25,106,76,77,47,54,66,24,62,74,24,70,36,42,45,28,91,49,35,43,48,62,71,35,57,51,49,29,35,56,47,61,45,54,71,22,34,78,26,31,58,50,36,42,45,44,27,26,41,31,31,34,26,59,25,41,42,26,25,52,35,30,26,29,32,34,26,26,24,30,46,26,20,15,47,22,30,17,48,28,33,19,72,22,35,40,22,73,33,34,43,62,50,36,39,30,70,60,24,43,41,39,67,40,51,18,51,47,36,37,33,58,64,50,40,74,41,63,26,54,30,61,27,23,61,57,44,62,35,49,50,32,31,43,43,33,55,53,55,27,55,49,44,45,30,54,27,42,39,27,24,32,41,10,8,7,11,18,14,14,5,13,6,8
"1045808",5,25,92,36,36,25,27,14,16,32,44,26,92,34,28,20,15,29,24,14,21,21,40,32,24,25,31,30,13,12,28,33,16,70,43,45,24,30,25,8,26,25,79,27,52,20,26,37,25,14,10,22,24,13,21,14,13,27,17,22,48,10,15,21,16,15,18,9,20,9,17,26,15,18,10,36,23,10,20,28,19,11,12,92,21,18,10,9,86,19,15,56,68,84,15,17,14,64,33,16,30,105,72,68,17,55,7,10,61,15,15,12,100,23,63,63,64,67,65,14,62,13,67,17,15,48,71,15,69,13,28,58,19,95,72,63,14,69,47,63,19,61,57,70,23,12,58,26,49,14,17,15,15,13,11,20,13,12,3,16,11,19,15,5,6
"1177213",10,11,77,20,37,9,25,30,9,17,27,14,33,17,32,11,15,34,26,12,16,11,19,30,16,6,23,10,15,5,29,28,7,32,17,39,13,16,35,10,19,20,35,15,19,13,21,19,6,13,11,10,19,12,26,15,12,18,12,12,54,12,15,17,13,19,10,10,4,15,17,15,14,12,16,17,15,3,7,3,10,12,16,37,18,23,17,18,34,9,9,34,34,28,9,14,11,30,26,13,16,33,36,33,4,35,10,22,28,17,8,12,27,26,32,35,34,33,41,10,46,13,53,9,10,28,32,105,31,9,13,39,14,25,34,42,19,25,35,32,13,24,41,30,22,11,34,12,22,20,6,11,13,18,4,8,9,3,3,5,6,3,4,7,3
"1303",12,40,77,43,57,33,54,39,23,44,105,30,53,52,59,37,34,72,61,32,32,65,69,75,42,21,47,41,33,21,64,65,37,43,36,92,26,31,57,28,33,61,39,39,29,39,52,35,22,21,23,22,40,36,52,31,34,35,33,38,33,49,26,29,38,39,27,27,19,50,39,58,38,24,32,68,27,28,23,31,33,44,32,53,36,35,33,19,37,41,36,54,36,31,28,38,22,48,68,32,34,42,44,41,43,44,17,54,36,21,27,43,36,56,29,34,32,33,42,38,56,16,37,29,16,35,30,81,26,31,39,30,29,44,40,30,31,37,30,38,30,37,34,37,37,24,25,36,25,32,22,25,18,56,7,13,5,12,15,13,14,13,6,13,6
"1612552",7,34,99,35,37,38,36,44,21,72,69,41,105,51,45,38,31,63,39,29,37,41,59,49,51,35,44,55,28,32,34,46,43,64,45,60,36,45,28,32,33,67,80,34,85,38,58,47,37,27,28,37,35,37,46,25,24,30,30,32,66,39,30,19,47,35,26,26,31,39,39,42,28,34,20,63,32,30,25,29,39,42,20,99,24,43,28,23,94,33,19,100,84,69,30,35,31,84,60,29,47,91,80,71,34,97,27,32,74,15,28,37,52,36,68,77,69,61,73,21,63,21,68,40,24,63,81,31,58,27,54,71,21,70,51,56,34,59,82,57,22,62,56,82,31,23,63,33,45,28,18,23,23,24,27,31,23,39,23,19,18,15,21,13,16
"1642",33,34,56,49,49,43,64,86,22,41,96,22,48,39,43,34,31,87,68,31,27,41,61,105,38,30,58,38,25,30,73,54,36,32,52,91,38,33,69,49,31,68,42,41,58,50,50,35,30,29,30,34,39,21,79,22,24,40,15,41,28,31,34,35,43,41,32,24,18,43,46,64,51,36,34,63,41,26,23,29,23,32,24,49,42,45,34,28,39,26,31,47,54,60,31,25,29,40,75,35,64,39,48,34,44,48,24,25,37,29,28,52,41,36,56,48,40,38,29,26,45,28,35,31,26,29,32,46,47,44,43,30,21,36,46,43,27,42,52,39,28,30,33,35,32,39,47,39,45,37,21,27,33,36,9,4,7,7,10,7,15,4,6,6,3
"2107709",15,19,105,45,26,32,48,42,27,41,56,35,87,44,44,29,19,57,37,29,29,45,51,50,45,28,42,43,25,25,48,44,28,56,32,59,40,31,49,38,31,50,49,37,79,29,34,45,25,22,24,27,45,36,39,35,21,39,40,27,54,33,36,31,29,25,21,15,36,29,33,50,19,28,30,56,32,21,17,29,25,31,18,89,33,36,30,33,92,36,22,94,88,59,27,30,27,83,52,28,33,58,94,97,39,81,35,37,81,21,37,26,82,48,59,77,58,54,63,24,78,12,66,16,26,44,57,23,53,34,37,51,25,80,84,66,41,60,61,65,19,49,55,68,36,25,81,30,62,26,26,42,17,32,16,22,13,17,15,16,14,12,16,9,13
"2743000",29,33,105,80,71,38,73,75,20,72,80,33,84,55,66,49,37,95,71,46,50,53,78,91,47,55,93,57,34,29,94,86,43,55,62,76,33,48,80,37,57,94,75,40,76,48,54,33,41,35,37,43,37,28,77,43,56,30,40,32,64,31,40,41,43,52,44,38,49,50,58,49,57,32,50,77,51,37,34,36,38,36,37,97,42,44,40,37,71,54,39,62,73,70,36,54,38,65,79,48,44,75,68,80,34,59,39,37,61,30,44,40,44,53,54,81,76,54,60,34,47,42,67,44,38,39,47,58,51,52,47,67,44,47,64,60,43,76,61,64,36,48,50,57,60,40,74,57,45,45,40,43,42,39,12,18,13,22,14,14,9,16,15,10,14
"2813035",12,32,97,54,40,34,59,66,15,45,67,39,105,45,36,33,39,70,51,50,36,40,59,73,40,26,41,37,34,22,41,56,32,63,49,102,40,26,61,31,30,62,62,37,79,33,39,23,30,37,23,41,49,30,54,25,28,44,30,35,58,31,31,23,39,39,38,23,29,31,36,56,27,35,23,59,22,21,24,29,27,37,32,81,31,27,29,25,70,49,38,60,52,83,29,25,41,80,51,46,34,65,68,57,25,71,30,25,63,25,22,49,33,58,72,54,93,66,59,27,68,34,72,37,37,64,59,39,69,25,40,63,35,51,61,63,31,41,37,61,32,54,54,59,37,25,54,29,57,25,32,27,29,54,10,3,13,12,14,13,11,3,15,10,5
"2976431",105,19,105,52,27,24,32,41,13,34,52,17,88,31,24,22,29,46,44,33,30,40,37,43,24,24,34,21,13,13,28,25,19,48,21,43,35,20,34,16,32,44,44,31,62,34,27,32,26,17,26,19,27,23,39,23,34,29,22,17,57,21,32,12,28,35,18,15,22,19,27,37,17,22,15,40,16,18,14,26,14,27,14,65,34,20,24,16,58,26,23,47,62,45,22,15,33,54,46,28,27,44,54,54,19,68,27,20,57,18,21,37,68,35,64,60,62,54,58,18,41,18,52,16,12,57,45,62,51,29,36,51,15,64,57,62,31,34,60,58,19,51,53,30,39,23,52,23,52,26,13,32,22,29,10,15,19,12,4,14,15,13,11,6,6
"305976",25,16,54,59,58,21,45,39,59,48,50,49,27,38,68,21,29,63,60,40,44,15,105,45,46,29,78,37,30,22,48,33,27,50,35,26,40,49,44,40,58,53,16,37,11,32,27,28,46,34,14,31,51,39,71,30,53,39,22,33,27,41,12,29,31,42,26,23,31,21,31,17,52,20,28,57,34,27,15,52,26,31,23,20,38,36,31,30,22,42,21,17,25,19,28,31,52,48,41,28,47,23,14,10,36,13,19,26,14,20,46,31,11,17,22,19,15,14,10,30,19,35,14,31,31,30,7,18,35,43,38,7,28,11,16,15,32,17,12,17,21,30,22,10,29,36,7,19,15,22,31,27,16,24,2,2,4,4,7,4,5,2,2,3,2
"380393",12,22,105,30,27,18,17,39,12,26,36,23,65,46,31,24,20,45,28,25,15,22,15,49,25,25,32,24,20,12,23,37,21,51,32,62,23,27,29,18,33,40,70,42,88,19,24,16,19,12,13,26,30,19,42,20,17,38,27,18,44,16,17,16,19,21,14,15,16,27,28,30,22,21,25,33,22,17,17,16,15,23,16,72,16,22,23,20,77,17,20,66,73,74,34,15,21,39,33,19,27,54,53,58,16,61,22,17,60,18,16,22,36,47,68,48,59,53,46,8,59,20,38,23,19,51,73,24,55,16,22,51,32,46,25,38,32,66,34,60,26,61,42,32,25,21,39,32,42,18,27,24,22,38,11,13,8,7,14,13,9,18,7,14,5
"38303",13,21,105,29,32,34,32,51,14,30,47,37,92,35,35,29,24,35,29,35,22,26,31,39,37,23,41,40,32,19,33,38,29,58,32,74,43,17,41,28,24,46,58,20,64,30,37,22,21,25,17,19,26,22,46,21,21,25,17,45,51,18,25,15,19,27,20,25,21,28,32,33,28,25,17,30,24,25,19,20,13,25,17,77,29,27,31,22,69,14,29,56,60,79,30,20,20,51,34,16,24,77,68,61,24,62,17,22,56,22,24,26,66,46,58,56,60,57,74,21,59,25,52,25,27,49,71,27,71,13,40,64,20,52,61,49,10,37,42,50,12,62,47,52,25,30,63,22,45,19,23,17,23,32,8,15,22,15,13,13,13,9,15,14,11
"40216",15,33,61,65,65,47,67,66,34,57,81,28,44,42,73,37,32,80,70,51,41,47,66,69,38,32,82,32,24,28,88,70,30,45,35,53,39,56,93,50,51,62,34,56,39,39,44,32,52,27,27,27,43,38,80,36,34,34,32,28,45,39,52,33,44,23,46,31,49,39,43,31,45,32,32,52,28,40,29,25,32,38,24,39,43,37,37,35,30,29,45,45,31,35,47,40,35,31,66,29,51,29,32,31,36,39,40,30,30,35,30,42,25,33,43,35,36,26,31,17,31,24,30,40,30,29,11,105,37,41,42,31,37,34,21,37,49,22,33,33,34,35,40,32,43,31,25,30,19,25,29,31,29,36,7,8,13,10,17,11,12,2,10,15,9
"566027",12,31,100,58,44,48,45,56,24,55,67,50,65,39,52,34,25,105,43,49,23,41,59,68,47,49,44,72,32,21,46,44,39,46,49,58,44,40,40,34,40,49,35,43,37,52,43,25,35,41,20,35,28,49,38,29,27,53,29,45,38,17,24,25,43,27,34,34,32,29,34,40,26,31,28,36,32,28,20,36,27,30,32,64,28,53,33,39,51,42,29,52,61,59,30,30,38,56,38,31,70,50,36,50,35,44,29,24,39,25,36,35,43,44,32,45,45,38,47,22,43,49,35,37,19,46,42,37,54,42,23,37,19,49,31,44,44,50,49,38,19,36,38,40,29,29,42,37,49,23,20,32,20,47,14,11,19,20,7,20,7,11,14,11,9
"683737",18,39,90,46,48,39,51,51,15,53,105,43,81,50,56,21,43,68,58,40,22,34,77,80,54,41,59,56,19,27,72,69,43,47,41,73,34,25,43,41,31,52,42,30,47,36,37,38,27,33,21,31,25,30,67,26,35,31,14,39,37,37,29,28,20,39,39,34,35,54,52,33,41,29,19,60,29,26,20,33,21,39,17,67,40,41,30,25,51,33,26,54,44,45,20,24,35,43,65,17,34,58,50,62,35,58,24,34,45,23,20,56,58,38,44,38,44,55,53,31,51,32,40,27,34,42,50,38,38,31,37,52,24,34,46,45,26,53,50,46,25,37,45,41,28,31,42,38,40,31,14,25,33,34,8,6,7,9,3,7,7,8,7,11,7
"1144748",17,44,54,39,67,36,44,43,21,56,57,22,48,32,51,26,22,57,44,24,23,27,40,52,33,21,35,18,12,19,51,47,28,49,20,55,19,25,49,22,22,52,37,31,36,29,35,18,27,23,24,19,31,21,37,29,19,26,21,17,39,30,23,19,47,28,22,23,21,28,31,45,21,12,21,30,20,26,23,24,17,29,18,38,14,37,31,16,33,17,14,35,34,33,16,30,21,52,50,29,27,25,37,34,25,31,18,30,31,24,26,21,38,43,27,35,38,28,35,10,37,21,33,24,21,25,33,104,35,14,32,34,22,29,27,33,21,28,32,14,15,55,28,31,30,27,30,20,26,20,20,13,23,40,5,9,12,7,8,9,10,4,5,17,4
"1390185",3,10,18,10,12,7,4,18,12,7,19,2,13,11,10,4,4,20,9,6,6,18,20,14,11,13,13,5,4,13,10,13,1,3,6,7,9,4,9,9,7,19,7,16,4,7,7,4,10,6,10,3,5,8,10,6,4,14,4,9,11,9,2,3,5,1,10,5,6,2,2,8,12,2,9,20,3,8,4,4,9,11,7,10,5,6,8,3,9,7,6,8,10,12,7,5,7,16,12,11,7,7,7,10,9,7,9,12,13,8,1,9,11,8,10,6,10,12,10,5,8,4,7,4,4,6,11,104,13,3,10,8,2,2,4,5,6,8,16,11,7,10,8,11,7,9,4,9,8,7,8,3,6,7,5,3,4,4,5,3,5,1,4,4,1
"1565",12,28,100,56,37,34,64,75,13,61,73,27,104,36,44,33,36,102,57,32,38,42,58,86,32,51,47,45,22,18,58,49,40,83,45,87,37,39,54,34,38,71,57,38,85,41,41,32,26,45,30,28,45,33,47,38,43,39,38,53,62,26,33,41,39,29,39,20,41,41,34,56,21,29,46,64,32,35,36,29,24,47,18,95,44,38,42,29,68,34,42,72,68,78,39,31,24,52,57,21,55,71,80,87,38,91,32,66,70,28,38,28,76,64,66,71,77,68,74,21,91,30,79,29,20,53,59,58,66,25,23,66,31,46,74,57,44,74,64,63,28,63,73,70,38,44,76,43,58,42,24,21,35,38,16,15,8,22,17,23,13,13,18,12,14
"170679",15,29,56,50,47,34,35,48,16,50,64,28,65,45,34,32,36,85,58,30,31,54,80,53,48,41,58,47,39,32,49,63,26,30,30,49,27,34,51,40,41,75,38,32,39,33,30,32,42,46,36,20,43,27,49,31,23,33,19,25,33,50,27,37,36,30,25,27,24,29,35,46,33,28,32,56,26,29,18,21,18,36,30,55,30,30,26,40,49,32,31,39,52,27,29,37,37,41,48,22,32,46,45,37,26,36,17,43,41,31,26,40,31,44,37,32,34,37,41,33,32,38,45,36,27,36,34,104,45,23,33,36,21,33,35,27,25,39,33,32,38,48,34,41,25,20,40,28,41,34,32,22,31,32,13,4,16,18,36,11,14,6,16,8,6
"1754",20,41,67,47,59,43,66,59,15,47,91,17,45,47,45,30,12,104,63,45,33,55,59,86,35,24,51,31,27,18,73,45,32,30,46,76,27,26,64,24,38,59,28,28,49,26,68,40,29,29,26,43,32,35,66,33,27,34,17,40,24,28,42,28,29,23,34,19,30,42,43,44,29,19,41,51,37,21,14,29,20,36,16,37,30,34,30,32,37,24,36,40,52,56,33,35,26,48,55,26,29,41,31,43,33,38,24,46,42,33,27,35,50,29,31,32,40,51,34,22,37,29,23,43,29,40,29,34,34,47,29,51,21,29,32,29,35,25,27,37,20,26,25,51,39,38,28,23,39,18,18,29,30,25,14,10,12,14,10,8,17,9,2,13,8
"1884913",70,15,97,60,45,30,48,59,24,57,69,21,104,40,36,36,23,63,51,35,34,56,36,70,39,35,72,27,35,18,57,41,34,59,55,65,28,39,62,32,33,66,79,35,77,41,29,60,31,46,27,32,34,28,42,23,40,30,39,30,62,35,28,16,31,27,29,22,22,29,47,60,32,14,18,51,23,24,25,30,22,31,26,99,46,20,31,28,98,35,25,71,76,100,29,31,26,58,47,33,34,84,82,90,27,78,24,35,75,22,31,28,65,42,60,70,67,79,79,22,97,21,80,37,29,68,71,43,40,35,40,72,29,52,69,48,33,60,86,73,32,59,61,80,45,25,54,47,60,24,28,21,28,41,17,16,16,15,17,14,19,11,22,12,11
"2590012",7,16,57,23,27,21,40,60,10,44,76,16,27,27,30,35,13,67,46,30,27,18,104,67,39,37,39,34,14,10,42,40,19,22,53,67,17,24,52,21,32,57,15,28,29,33,39,20,17,32,15,34,21,20,54,19,24,26,19,35,25,20,27,12,39,15,18,25,19,25,31,24,23,14,26,34,17,15,15,9,13,32,18,32,36,26,22,14,26,15,9,28,30,23,22,19,17,37,48,28,28,21,27,22,31,21,14,20,24,17,19,27,19,31,31,15,21,18,13,9,22,32,17,30,25,27,12,24,30,35,19,31,13,13,23,17,26,19,33,22,9,26,30,13,29,18,18,27,24,31,24,19,19,20,7,2,10,5,6,5,4,5,7,6,6
"2592382",17,33,72,55,33,35,104,52,21,72,101,22,37,40,58,39,45,81,80,28,32,45,70,92,50,37,88,51,27,27,41,43,50,38,47,64,25,44,56,38,32,83,34,49,34,28,34,28,22,52,17,23,53,43,44,27,46,39,32,36,25,64,27,22,42,27,22,24,27,31,59,42,44,22,26,68,29,37,12,36,20,34,28,34,37,46,23,13,32,33,26,34,29,35,38,19,30,25,61,40,47,40,48,43,36,30,19,30,33,28,27,34,22,45,27,26,46,39,28,39,36,29,39,34,33,23,28,42,29,41,40,31,28,43,39,34,24,20,26,30,41,25,24,28,20,48,28,31,41,31,49,14,27,32,7,7,13,8,15,22,8,7,5,10,10
"2683272",11,39,69,41,51,36,47,60,26,62,67,31,50,41,39,27,43,88,67,35,38,55,60,74,39,34,52,29,24,34,55,43,44,35,41,73,35,32,78,27,51,80,37,50,49,46,50,38,36,24,22,25,49,35,48,32,31,55,21,39,35,46,32,35,38,37,36,22,31,35,35,40,31,23,46,45,27,27,24,29,17,34,33,51,30,39,32,28,42,37,26,38,43,42,32,30,30,57,54,18,29,45,45,34,37,46,23,49,36,24,25,47,35,48,42,46,58,39,43,22,55,32,53,45,38,43,43,71,46,25,38,48,31,24,39,44,42,35,37,38,19,46,43,31,35,37,34,31,34,27,21,30,27,41,12,104,13,86,16,94,7,104,66,16,89
"2707174",8,26,104,14,27,11,55,35,10,30,50,11,80,15,39,11,16,19,42,29,14,24,23,38,11,18,25,17,6,7,23,26,21,75,16,60,10,19,39,9,15,36,31,21,81,23,27,16,9,17,22,11,15,30,36,10,12,24,7,17,41,14,12,24,10,27,8,6,12,15,10,44,10,13,20,31,11,4,17,12,10,21,17,86,9,14,19,15,45,11,30,47,56,81,17,19,11,88,40,32,10,60,63,55,24,49,19,19,46,28,15,18,66,31,49,52,60,37,42,9,52,11,60,7,13,43,99,23,56,9,16,44,10,57,63,68,21,46,67,53,5,70,28,42,19,17,42,3,41,17,22,11,15,30,17,5,24,11,20,11,13,2,10,12,7
"2749809",4,9,5,18,10,6,6,6,3,11,12,2,3,1,8,6,5,18,19,4,10,3,104,17,17,7,9,8,8,2,13,14,8,1,1,4,7,10,11,9,9,7,5,3,3,4,3,8,11,5,5,4,3,5,15,5,6,3,11,5,1,4,2,2,4,4,4,1,2,6,1,6,5,2,14,7,7,8,4,4,4,5,4,2,8,8,10,3,0,5,2,4,1,4,4,6,3,3,12,3,5,0,1,2,3,2,7,4,2,8,12,4,3,0,0,3,2,0,1,9,4,3,2,6,5,0,5,4,4,41,4,3,9,0,5,0,6,2,2,4,6,2,0,1,6,1,2,9,0,7,5,6,3,3,0,0,2,0,1,3,1,1,1,0,0
"2864208",15,20,54,48,40,29,32,49,12,43,43,6,53,34,41,10,13,50,52,26,22,35,30,51,40,24,38,25,27,16,40,32,20,22,21,52,21,20,66,16,31,28,34,28,39,21,38,33,20,20,16,18,39,27,36,20,27,27,17,31,28,19,22,23,35,15,15,15,18,11,20,33,28,11,21,35,22,25,10,36,16,21,24,39,24,22,17,31,39,16,39,38,43,41,18,13,22,47,42,14,31,62,28,40,22,39,13,104,47,27,25,35,38,32,40,31,36,45,39,18,52,23,37,39,16,29,38,82,32,26,26,25,28,24,25,41,30,22,34,33,15,43,29,39,11,24,32,16,30,23,15,19,21,40,12,5,13,7,5,10,4,6,5,9,6
"2867026",38,31,93,78,48,41,64,67,32,63,72,53,84,64,52,41,25,76,43,54,45,53,52,67,30,35,70,42,38,27,56,67,43,47,48,67,39,37,51,34,25,85,76,55,66,45,48,30,36,33,22,35,46,38,73,32,34,40,20,44,51,32,32,45,35,45,26,34,45,35,33,50,28,23,29,57,34,19,18,37,34,41,35,92,24,36,34,34,76,51,66,78,104,65,37,32,32,63,69,27,62,70,74,82,33,83,27,43,72,41,56,21,65,52,69,63,79,49,78,37,74,39,70,51,22,38,59,40,46,35,38,83,20,49,53,63,30,56,53,80,20,63,50,67,44,23,38,34,77,33,33,36,25,49,14,10,22,13,14,18,19,9,6,16,9
"2924031",18,21,38,62,42,49,53,89,13,85,100,31,46,37,32,23,29,93,47,34,32,33,81,104,56,64,75,55,18,23,51,65,26,22,66,79,30,31,76,40,35,79,25,30,33,50,34,37,31,38,23,36,27,27,70,25,24,42,23,36,19,29,41,34,45,25,21,24,36,37,34,50,54,28,30,60,41,33,34,32,44,24,30,46,41,41,22,27,25,33,24,29,46,29,21,35,33,42,53,27,39,23,29,28,30,31,18,29,22,39,27,43,25,34,22,32,23,23,21,29,33,36,36,26,22,25,31,61,26,47,17,26,25,35,25,30,28,27,25,23,24,35,22,24,53,40,22,37,14,41,22,30,24,41,6,3,8,7,5,3,6,4,3,8,5
"2924033",19,38,88,63,71,39,78,102,29,73,101,46,67,65,57,39,33,95,75,43,51,53,82,104,58,56,92,74,36,40,74,70,28,40,59,77,53,46,55,38,29,79,43,51,43,42,64,48,44,30,33,50,38,42,60,42,32,56,35,36,41,36,41,42,43,41,31,29,45,54,54,45,43,31,33,66,42,22,20,41,33,34,30,40,49,48,38,25,46,34,44,57,55,58,35,54,39,59,73,45,66,41,39,48,49,58,30,42,60,38,44,28,35,75,44,34,49,47,46,34,55,32,42,46,40,49,49,55,50,50,35,44,24,51,34,35,25,40,39,44,48,50,42,53,41,38,37,30,29,41,32,33,40,39,17,12,15,17,9,21,13,5,8,16,6
"54299",15,17,104,46,55,30,50,51,22,63,60,22,60,40,38,38,28,65,39,25,21,25,46,50,31,31,39,33,22,17,57,53,26,46,25,48,28,31,49,15,23,33,32,27,35,33,26,32,37,28,9,21,20,33,55,28,26,34,26,19,33,33,23,17,20,32,24,18,26,16,29,38,24,19,17,69,17,11,26,21,22,26,22,70,19,36,20,31,51,23,18,47,54,65,22,23,16,62,51,15,31,45,57,54,30,51,33,24,48,17,35,16,30,50,54,36,59,43,35,29,75,18,46,26,23,63,37,36,52,17,24,45,17,57,47,53,26,36,47,51,21,40,40,50,29,35,35,30,41,17,20,25,19,30,15,16,10,16,32,26,39,13,11,27,13
"622",2,18,90,18,18,6,20,29,7,18,26,7,90,24,23,9,16,33,15,17,16,14,18,22,23,11,21,17,16,6,28,26,14,45,17,44,6,13,31,18,13,32,63,11,77,22,26,15,15,16,13,11,17,16,20,15,28,14,11,11,42,16,4,6,21,15,16,6,14,10,20,28,8,8,12,26,13,5,13,14,7,9,4,88,12,13,17,20,80,16,18,81,83,94,14,6,13,74,27,16,11,77,71,101,18,100,11,8,58,6,19,21,78,31,73,89,84,71,66,17,104,13,92,20,11,34,79,17,63,12,25,96,10,38,68,73,14,53,56,71,12,46,48,76,17,17,64,18,53,6,8,14,8,33,6,4,11,8,5,3,6,3,8,6,3
"885040",19,14,104,43,37,13,44,21,14,31,41,17,65,25,31,21,22,33,35,38,26,11,49,41,18,40,31,28,23,12,30,45,20,56,29,71,27,28,27,26,23,37,39,25,64,25,26,24,19,20,15,18,27,18,50,11,19,29,9,19,52,27,24,20,36,21,16,10,23,23,22,35,22,22,18,33,23,19,17,26,17,9,18,76,21,21,23,27,48,21,22,66,50,66,18,21,17,71,32,26,17,54,60,57,11,68,13,22,61,13,12,24,57,43,69,58,55,61,49,14,54,25,57,21,16,74,71,80,52,20,30,50,24,50,42,52,17,57,49,49,15,59,42,37,23,21,52,16,40,14,17,24,19,41,11,12,17,18,10,14,13,11,15,12,9
